block,algo,registers,alloctime,allocedinstructions,originalinstructions,addedinstructions,allocedcycles,originalcycles,addedcycles
report1.i,s,5,0m0.015s,331,62,269,599,64,535
report1.i,s,10,0m0.013s,301,62,239,533,64,469
report1.i,s,20,0m0.015s,231,62,169,393,64,329
report1.i,t,5,0m0.015s,243,62,181,500,64,436
report1.i,t,10,0m0.018s,143,62,81,290,64,226
report1.i,t,20,0m0.019s,63,62,1,65,64,1
report1.i,b,5,0m0.018s,185,62,123,291,64,227
report1.i,b,10,0m0.014s,103,62,41,149,64,85
report1.i,b,20,0m0.017s,63,62,1,65,64,1
report2.i,s,5,0m0.013s,277,50,227,489,62,427
report2.i,s,10,0m0.017s,211,50,161,403,62,341
report2.i,s,20,0m0.015s,151,50,101,278,62,216
report2.i,t,5,0m0.017s,143,50,93,280,62,218
report2.i,t,10,0m0.016s,51,50,1,63,62,1
report2.i,t,20,0m0.013s,51,50,1,63,62,1
report2.i,b,5,0m0.016s,99,50,49,193,62,131
report2.i,b,10,0m0.015s,51,50,1,63,62,1
report2.i,b,20,0m0.015s,51,50,1,63,62,1
report3.i,s,5,0m0.016s,224,49,175,391,52,339
report3.i,s,10,0m0.017s,182,49,133,334,52,282
report3.i,s,20,0m0.017s,108,49,59,217,52,165
report3.i,t,5,0m0.018s,158,49,109,312,52,260
report3.i,t,10,0m0.016s,92,49,43,154,52,102
report3.i,t,20,0m0.016s,50,49,1,53,52,1
report3.i,b,5,0m0.018s,104,49,55,153,52,101
report3.i,b,10,0m0.016s,72,49,23,95,52,43
report3.i,b,20,0m0.016s,50,49,1,53,52,1
report4.i,s,5,0m0.017s,201,36,165,338,46,292
report4.i,s,10,0m0.017s,159,36,123,277,46,231
report4.i,s,20,0m0.015s,107,36,71,178,46,132
report4.i,t,5,0m0.017s,97,36,61,185,46,139
report4.i,t,10,0m0.016s,37,36,1,47,46,1
report4.i,t,20,0m0.013s,37,36,1,47,46,1
report4.i,b,5,0m0.015s,49,36,13,70,46,24
report4.i,b,10,0m0.017s,37,36,1,47,46,1
report4.i,b,20,0m0.015s,37,36,1,47,46,1
report5.i,s,5,0m0.016s,231,44,187,443,49,394
report5.i,s,10,0m0.019s,203,44,159,384,49,335
report5.i,s,20,0m0.017s,141,44,97,228,49,179
report5.i,t,5,0m0.018s,219,44,175,426,49,377
report5.i,t,10,0m0.015s,139,44,95,267,49,218
report5.i,t,20,0m0.012s,55,44,11,75,49,26
report5.i,b,5,0m0.019s,159,44,115,234,49,185
report5.i,b,10,0m0.019s,105,44,61,150,49,101
report5.i,b,20,0m0.017s,49,44,5,58,49,9
report6.i,s,5,0m0.012s,282,47,235,467,52,415
report6.i,s,10,0m0.017s,222,47,175,395,52,343
report6.i,s,20,0m0.019s,172,47,125,300,52,248
report6.i,t,5,0m0.016s,216,47,169,367,52,315
report6.i,t,10,0m0.019s,48,47,1,53,52,1
report6.i,t,20,0m0.017s,48,47,1,53,52,1
report6.i,b,5,0m0.017s,56,47,9,67,52,15
report6.i,b,10,0m0.017s,48,47,1,53,52,1
report6.i,b,20,0m0.016s,48,47,1,53,52,1
